precdesc,age,aacong,conparty,conperct,conterms,aasenate,senparty,senterms,senperct,aavoter,gen2004,aa2004v,VAP3,BVAP3,bvperct,votperc,NBVAP,nbvote,nbvtpct,Nprecincts100
GRANT,3,0,0,73,10,0,0,1,64.7,78,1958,70,3667,163,.42944786,.53395146,3372,1888,.55990511,.40000001
LOVELADY 0,3,0,0,64,0,0,0,9,99,28,3454,26,6764,50,.51999998,.51064461,6699,3428,.51171815,.31
EAST LANDI,3,0,0,73,10,0,0,1,60.2,57,768,43,1574,59,.72881359,.48792884,1474,725,.4918589,.44
W22,2,0,1,72,4,0,0,0,65.09999999999999,144,880,114,2487,292,.39041096,.35383996,2032,766,.3769685,.46000001
ELK,3,0,0,59,0,0,0,5,61.8,0,271,0,367,1,0,.73841959,369,271,.73441732,.2
ALLENDALE,3,0,0,55,3,0,1,4,99,76,142,56,543,196,.2857143,.26151013,300,86,.28666666,.13
WACO,3,0,0,64,0,0,1,4,52.4,429,1707,378,3426,752,.50265956,.4982487,2629,1329,.5055154,.28
NORTH BUNC,3,0,0,55,7,0,1,0,55.9,8,1133,5,1864,9,.55555558,.60783261,1780,1128,.63370788,.72000003
008,3,0,0,55,3,0,0,1,66.7,424,1122,363,3571,1023,.3548387,.31419769,2084,759,.36420345,.46000001
CRABTREE,3,0,0,55,7,0,1,1,49,1,1705,0,2527,4,0,.67471308,2475,1705,.68888891,.11
GRIFFINS,3,0,1,63,4,0,1,2,60.1,749,1068,659,2030,1292,.51006192,.52610838,713,409,.57363254,.25999999
TRYON,3,0,0,55,7,0,0,1,66.7,217,1988,174,3312,355,.49014086,.60024154,2862,1814,.6338225,.090000004
MULBERRY,3,0,0,59,0,0,0,5,61.8,12,2734,8,4984,18,.44444445,.54855537,4871,2726,.55963868,.28999999
RL09,3,0,0,71,5,0,1,1,51.8,423,1898,312,4271,712,.43820226,.44439241,3462,1586,.45811671,.23
G44,2,0,1,59,1,0,1,3,56.2,268,1088,185,2605,429,.43123543,.41765836,2094,903,.43123209,1.59
BRICES CRE,3,0,0,71,5,0,1,2,51.7,143,1399,124,1524,183,.67759562,.917979,1342,1275,.95007449,.27000001
TRENT-1,3,0,0,71,5,0,1,6,54.5,82,736,66,1284,127,.51968503,.57320875,1179,670,.56827819,.22
ELLIJAY,3,0,0,55,7,0,0,8,56.5,0,1112,0,2009,3,0,.55350924,1957,1112,.56821668,.15000001
SANDYMARSH,3,0,0,55,7,0,1,1,49,0,245,0,486,0,,.50411522,464,245,.52801722,.12
H4,3,0,0,73,10,0,1,1,64,271,928,227,2934,453,.50110376,.31629175,2388,701,.29355109,1.59
BEECH GLEN,3,0,0,55,7,0,1,1,49,6,1241,3,2127,9,.33333334,.58345085,2020,1238,.61287129,.12
QUALLA,3,0,0,55,7,0,0,8,56.5,8,1444,6,4048,8,.75,.35671937,3843,1438,.37418684,.18000001
PCT 109,2,0,0,55,3,0,1,3,99,41,1073,28,2190,246,.11382114,.48995435,1765,1045,.59206802,1.9
KNOLLWOOD,3,0,0,73,10,0,0,1,54.4,76,2018,66,3038,162,.4074074,.66425282,2701,1952,.72269529,.23999999
COLLEGE PA,3,0,0,64,0,0,0,7,99,29,584,18,1602,103,.17475729,.36454433,1429,566,.39608118,.40000001
PCT 218,3,0,0,70,5,0,0,1,66.7,113,1774,98,2640,125,.78399998,.67196971,2283,1676,.73412174,1.9
LAKEWOOD,3,0,1,63,4,0,1,6,54.5,1093,1507,907,3093,1634,.55507958,.48722923,1411,600,.42523032,.23
12-09,3,0,0,55,3,0,0,7,66.2,72,1193,57,2552,129,.44186047,.46747649,2192,1136,.5182482,.43000001
112,3,0,0,59,0,0,0,7,88.2,277,1698,242,3258,426,.56807512,.52117866,2709,1456,.53746772,1.01
PCT 235,3,0,0,70,5,0,0,1,66.7,486,1856,392,3631,602,.6511628,.51115394,2749,1464,.53255731,1.9
SMITH/CABI,3,0,1,72,4,0,1,6,54.5,91,609,67,1386,195,.34358975,.43939394,1132,542,.4787986,.19
DRYWELLS,3,0,1,63,4,0,1,2,60.1,322,1099,262,2341,601,.43594009,.46945751,1683,837,.4973262,.25999999
CULBERSON,3,0,0,55,7,0,0,8,56.5,0,403,0,827,0,,.4873035,798,403,.50501251,.16
PCT 29,3,0,0,55,3,0,1,3,99,365,1140,268,3709,957,.28004178,.30736047,2497,872,.34921905,1.9
NAGS HEAD,3,0,0,71,5,0,1,10,66.59999999999999,9,1351,8,2441,31,.25806451,.55346167,2171,1343,.61860895,.16
MT AIRY #3,3,0,0,59,0,0,0,4,61.2,39,896,30,2043,135,.22222222,.43857074,1880,866,.46063828,.28999999
ICARD 03,3,0,0,64,0,0,0,9,99,6,1536,6,3342,28,.21428572,.45960504,3307,1530,.46265498,.31
NORTH MILL,3,0,0,55,7,0,0,1,66.7,16,1385,12,2217,52,.23076923,.62471807,2035,1373,.67469287,.34999999
PCT 216,3,0,0,70,5,0,0,1,66.7,326,2321,276,3777,359,.76880223,.61450887,3102,2045,.65925211,1.9
SHANGHAI,3,0,0,64,0,0,1,4,52.4,307,1552,267,2775,451,.59201771,.55927926,2285,1285,.56236327,.28
BROOKFORD,3,0,0,64,0,0,0,7,99,108,384,83,794,149,.55704701,.4836272,615,301,.4894309,.40000001
BOONVILLE,3,0,0,59,0,0,0,4,61.2,79,1723,63,3006,163,.38650307,.57318693,2783,1660,.59647864,.12
AYDEN A,3,0,0,71,5,0,0,1,50.9,295,1424,244,2497,457,.53391683,.57028437,1946,1180,.60637206,.38
LINVILLE,3,0,0,64,0,0,1,1,49,0,118,0,522,1,0,.22605364,504,118,.23412699,.19
034,3,0,0,59,0,0,0,7,88.2,144,1104,129,2280,237,.54430377,.48421052,1954,975,.49897647,1.01
PCT 34,3,0,0,55,3,0,1,3,99,320,1219,269,3614,604,.44536424,.33729938,2732,950,.34773061,1.9
SOUTH MOCK,3,0,0,59,0,0,0,1,60.2,112,1246,82,2581,233,.35193133,.48275861,2166,1164,.53739613,.14
LITTLE ROC,3,0,0,64,0,0,1,1,49,0,380,0,639,2,0,.59467918,632,380,.60126585,.090000004
CEDAR GROV,3,0,0,73,10,0,0,1,64.7,69,2955,57,5607,120,.47499999,.5270198,5280,2898,.54886365,.40000001
WADESBORO,3,0,0,55,3,0,1,3,57.4,2623,3423,1504,8357,4290,.35058275,.40959674,4091,1919,.46907845,.11
HEATON,3,0,0,64,0,0,1,1,49,0,236,0,350,0,,.67428571,338,236,.69822484,.19
LINVILLE 0,3,0,0,64,0,0,0,9,99,137,835,118,1124,175,.67428571,.74288255,947,717,.75712776,.31
NORTHSIDE,2,0,1,64,9,0,1,4,65.7,359,1036,292,2303,704,.41477272,.44984803,1577,744,.47178185,.43000001
LOVELADY-O,3,0,0,64,0,0,0,9,99,6,1884,6,2369,18,.33333334,.79527229,2311,1878,.81263524,.23999999
08,3,0,1,64,9,1,1,4,89.3,809,1043,657,2487,1576,.41687816,.41938078,853,386,.45252052,.55000001
02,2,0,1,64,9,1,1,4,89.3,578,1414,465,4321,1267,.36700869,.32723907,2860,949,.33181819,.55000001
18,3,0,1,64,9,1,1,4,89.3,1134,1104,953,4199,2403,.39658761,.26291975,1682,151,.08977408,.55000001
26,3,0,1,64,9,1,1,4,89.3,133,946,120,1471,241,.49792531,.6430999,1152,826,.7170139,.55000001
15,3,0,1,64,9,1,1,4,89.3,731,694,592,2309,1545,.38317153,.30056301,716,102,.1424581,.55000001
01,3,0,1,64,9,1,1,4,89.3,237,666,203,2027,558,.36379927,.32856438,1375,463,.33672726,.55000001
PCT 230,3,0,0,70,5,1,1,5,99,713,1972,637,2864,786,.81043255,.68854749,1886,1335,.7078473,1.9
PCT 122,3,0,0,70,5,1,1,5,99,1459,3547,1215,6204,1608,.755597,.57172793,4172,2332,.55896455,1.9
PCT 120,2,0,0,70,5,1,1,5,99,698,1022,535,5259,1277,.41895068,.19433352,3614,487,.13475373,1.9
17,3,0,1,64,9,1,1,4,89.3,1286,1150,1044,3878,2908,.35900962,.29654461,908,106,.11674009,.55000001
PCT 229,3,0,0,70,5,1,1,5,99,374,2246,329,3083,412,.79854369,.72851121,2424,1917,.79084158,1.9
PCT 89,3,0,0,70,5,1,1,5,99,928,2607,835,4403,1022,.81702542,.59209627,3068,1772,.57757497,1.9
29,3,0,1,64,9,1,1,4,89.3,834,2059,727,3846,1026,.70857698,.53536141,2641,1332,.50435442,.55000001
52,3,0,1,64,9,1,1,4,89.3,1750,1949,1532,4352,2739,.5593282,.44784006,1511,417,.27597618,.55000001
19,3,0,1,64,9,1,1,4,89.3,1104,1578,962,3022,1642,.58587086,.52217072,1292,616,.47678018,.55000001
10,3,0,1,64,9,1,1,4,89.3,825,659,628,2003,1840,.34130436,.32900649,153,31,.20261438,.55000001
20,3,0,1,64,9,1,1,4,89.3,341,1094,275,2696,966,.28467909,.40578634,1620,819,.50555557,.55000001
09,3,0,1,64,9,1,1,4,89.3,670,1802,561,2711,1012,.55434781,.66469938,1591,1241,.78001255,.55000001
MORGANTON2,3,0,0,55,3,1,1,5,66.7,720,1378,597,3510,1345,.44386616,.39259258,2125,781,.36752942,.64999998
AUMAN,3,0,0,55,3,1,1,5,66.7,1548,2704,1288,5096,2060,.62524271,.53061223,2980,1416,.47516778,.64999998
25,3,0,1,64,9,1,1,4,89.3,273,2138,242,3333,310,.78064513,.64146417,2832,1896,.66949153,.55000001
PCT 223,3,0,0,70,5,1,1,5,99,775,2478,683,4710,854,.79976583,.52611464,3500,1795,.51285714,1.9
LAKE RIM,3,0,0,55,3,1,1,5,66.7,1211,1561,986,3216,1785,.55238098,.48538557,1405,575,.40925267,.64999998
LONG HILL,3,0,1,72,4,1,1,5,66.7,686,1686,569,3013,827,.68802899,.5595752,2146,1117,.52050328,.64999998
PCT 224,3,0,0,70,5,1,1,5,99,300,1171,260,2575,331,.7854985,.45475727,2037,911,.44722632,1.9
30,3,0,1,64,9,1,1,4,89.3,2397,3496,2184,7762,2802,.77944326,.45039937,4646,1312,.28239346,.55000001
37,3,0,1,64,9,1,1,4,89.3,352,3241,300,4430,464,.64655173,.73160273,3714,2941,.79186863,.55000001
06,2,0,1,64,9,1,1,4,89.3,231,1014,168,2710,945,.17777778,.37416974,1653,846,.51179671,.55000001
47,3,0,1,64,9,1,1,4,89.3,1530,1367,1309,2156,2031,.64451009,.63404453,117,58,.4957265,.55000001
CROSS CREE,3,0,1,63,4,1,1,5,66.7,21408,41031,17057,86573,37439,.45559442,.47394684,48230,23974,.49707651,.64999998
23,3,0,1,64,9,1,1,4,89.3,2309,2895,1995,4414,2891,.69007266,.6558677,1426,900,.63113606,.55000001
SPRING LAK,3,0,1,63,4,1,1,5,66.7,1308,1648,1035,5751,2873,.36025062,.28655887,2825,613,.21699116,.64999998
PCT 222,3,0,0,70,5,1,1,5,99,964,2214,860,3867,1062,.80979282,.57253683,2546,1354,.53181463,1.9
14,3,0,1,64,9,1,1,4,89.3,964,1006,803,3395,2171,.36987564,.29631811,1147,203,.17698343,.55000001
13,3,0,1,64,9,1,1,4,89.3,837,714,688,1701,1597,.43080777,.41975307,97,26,.26804122,.55000001
31,3,0,1,64,9,1,1,4,89.3,681,1971,609,3021,881,.69125992,.65243298,2004,1362,.67964071,.55000001
40,3,0,1,64,9,1,1,4,89.3,439,1149,378,1997,658,.57446808,.57536304,1254,771,.61483252,.55000001
PCT 97,3,0,0,70,5,1,1,5,99,380,679,301,1835,621,.48470208,.37002724,1101,378,.34332424,1.9
11,3,0,1,64,9,1,1,4,89.3,1291,1090,1054,2236,1913,.55096704,.48747763,302,36,.1192053,.55000001
28,3,0,1,64,9,1,1,4,89.3,333,2228,281,3048,409,.68704158,.73097116,2472,1947,.78762138,.55000001
42,3,0,1,64,9,1,1,4,89.3,1031,872,847,1365,1252,.67651755,.63882786,105,25,.23809524,.55000001
46,3,0,1,64,9,1,1,4,89.3,977,1976,853,4365,1583,.53885031,.45269185,2605,1123,.43109405,.55000001
32,3,0,1,64,9,1,1,4,89.3,116,1310,104,1764,161,.64596272,.74263036,1501,1206,.80346435,.55000001
WESTAREA,3,0,1,63,4,1,1,5,66.7,1347,1992,1080,5437,2775,.38918918,.36637852,2613,912,.34902412,.64999998
CLIFFDALE,3,0,1,63,4,1,1,5,66.7,1712,2551,1390,5602,2369,.58674544,.45537308,3174,1161,.3657845,.64999998
MONTIBELLO,3,0,0,55,3,1,1,5,66.7,524,742,432,1805,772,.55958551,.41108033,1014,310,.30571991,.64999998
21,3,0,1,64,9,1,1,4,89.3,304,1110,260,2233,547,.47531992,.49708912,1579,850,.53831542,.55000001
PCT 134,3,0,0,70,5,1,1,5,99,266,2791,223,3983,293,.76109213,.70072812,3349,2568,.76679605,1.9
PCT 28,3,1,1,67,6,0,0,1,54.6,840,1055,667,3266,1731,.38532642,.32302511,1393,388,.27853554,1.9
EAST WARRE,3,1,1,64,1,0,1,6,53.9,502,713,408,1729,1025,.39804879,.41237709,706,305,.43201134,.14
SUM1,3,1,1,67,6,0,1,1,64,481,1161,412,1789,500,.824,.6489659,1241,749,.60354555,1.59
4-A ELIZAB,3,1,1,64,1,0,1,10,66.59999999999999,696,654,558,1422,1154,.48353553,.45991561,254,96,.37795275,.13
PCT 239,3,1,1,67,6,0,0,1,54.6,533,1520,454,2484,587,.77342421,.61191624,1721,1066,.6194073,1.9
SUM2,3,1,1,67,6,0,1,1,64,355,902,311,1815,416,.74759614,.4969697,1347,591,.43875277,1.59
G73,3,1,1,67,6,0,1,1,64,1252,1006,993,1922,1777,.55880696,.52341312,140,13,.092857145,1.59
G53,3,1,1,67,6,0,1,1,64,1552,1523,1289,2767,1974,.65298885,.55041564,763,234,.30668414,1.59
TEMPERANCE,3,1,1,64,1,0,1,1,66.7,143,670,119,1334,281,.42348754,.50224888,1065,551,.51737088,.20999999
CONTENTNEA,3,1,1,64,1,0,1,6,54.5,524,1145,438,2298,860,.50930232,.49825937,1464,707,.48292351,.22
502,3,1,1,67,6,0,1,3,99,899,859,793,2075,1613,.49163049,.41397589,442,66,.14932127,1.01
G65,3,1,1,67,6,0,1,1,64,347,1322,288,2446,361,.79778391,.54047424,2007,1034,.5151968,1.59
H13,3,1,1,67,6,0,0,2,99,80,1212,62,2214,214,.28971961,.54742545,1925,1150,.59740257,1.59
KINSTON-7,3,1,1,64,1,0,1,6,54.5,1049,1144,903,1969,1461,.61806983,.58100557,517,241,.46615088,.22
G68,1,1,1,67,6,0,1,1,64,1443,1059,1016,2066,1980,.51313132,.51258469,83,43,.51807231,1.59
NH1,3,1,1,64,1,0,1,6,53.9,1119,1068,878,2828,2279,.38525668,.37765205,541,190,.35120147,.16
03-00,3,1,1,67,6,0,0,7,66.2,80,1546,66,2629,160,.41249999,.58805627,2234,1480,.66248882,.43000001
506,3,1,1,67,6,0,1,3,99,208,839,195,1682,266,.73308271,.49881095,1355,644,.47527674,1.01
11 - GREEN,3,1,1,64,1,0,0,1,50.9,483,1173,423,2451,994,.42555332,.47858018,1446,750,.51867223,.30000001
JAM2,3,1,1,67,6,0,1,1,64,158,1133,135,1343,164,.82317072,.84363365,1135,998,.87929517,1.59
UNITY,3,1,1,67,6,0,0,1,60.2,151,849,130,1719,327,.3975535,.49389181,1354,719,.53101921,.44
BEAR GARDE,3,1,1,64,1,0,0,1,50.9,146,513,127,1049,326,.38957056,.48903719,682,386,.5659824,.1
PCT 213,3,1,1,67,6,0,0,1,54.6,1226,1641,1073,3161,1351,.79422653,.51913953,1643,568,.34570906,1.9
WARD # 6 #,3,1,1,67,6,0,0,2,99,141,1259,119,2555,362,.32872927,.49275929,2105,1140,.54156768,.41999999
WALLBURG #,3,1,1,67,6,0,0,2,99,10,2252,9,3489,17,.52941179,.64545715,3334,2243,.67276543,.41999999
GARDNERS,3,1,1,64,1,0,1,2,60.1,627,1300,525,2559,1005,.52238804,.50801092,1510,775,.51324505,.25
902,3,1,1,67,6,0,1,3,99,225,850,184,2074,643,.28615862,.40983605,1369,666,.48648649,1.01
WEST ENOCH,3,1,1,67,6,0,0,1,60.2,23,1239,21,2960,64,.328125,.41858107,2818,1218,.43222144,.44
501,3,1,1,67,6,0,1,3,99,1196,1230,1054,2308,1647,.63995141,.53292894,632,176,.27848101,1.01
CASTORIA,3,1,1,64,1,0,0,1,50.9,117,450,88,1198,381,.23097113,.37562606,770,362,.47012988,.1
H1,3,1,1,67,6,0,1,1,64,293,619,229,2835,581,.39414802,.21834216,2170,390,.1797235,1.59
KINSTON-3,3,1,1,64,1,0,1,6,54.5,394,665,312,1676,631,.49445325,.39677805,1064,353,.3317669,.22
PCT 14,3,1,1,67,6,0,0,1,54.6,1309,1098,1008,3333,2715,.37127072,.32943293,561,90,.16042781,1.9
NH2,3,1,1,64,1,0,1,6,53.9,203,444,173,925,374,.46256685,.47999999,543,271,.4990792,.16
PCT 44,3,1,1,67,6,0,1,3,99,171,943,141,1906,380,.37105262,.49475342,1385,802,.57906139,1.9
FEN1,3,1,1,67,6,0,1,1,64,1222,1961,1046,3046,1435,.72891986,.64379513,1551,915,.58994198,1.59
SIXPOUND,3,1,1,64,1,0,1,6,53.9,123,397,102,771,202,.50495052,.5149157,571,295,.5166375,.14
BOONE #06,3,1,1,67,6,0,0,2,99,50,1468,39,3480,92,.42391303,.42183909,3254,1429,.43915182,.41999999
G66,3,1,1,67,6,0,1,1,64,273,1483,217,2481,238,.91176468,.59774286,2159,1266,.58638257,1.59
H10,3,1,1,67,6,0,1,1,64,1195,1173,980,2394,1812,.54083884,.48997495,560,193,.34464285,1.59
304,3,1,1,67,6,0,1,3,99,1441,1255,1224,2115,2042,.59941232,.59338063,70,31,.44285715,1.01
TARBORO 2,3,1,1,64,1,0,1,1,66.7,684,1718,586,3509,1325,.44226414,.48959818,2208,1132,.51268119,.20999999
JAM3,3,1,1,67,6,0,1,1,64,217,1311,197,1875,228,.86403507,.69919997,1586,1114,.70239598,1.59
G04,3,1,1,67,6,0,1,1,64,1002,897,764,2402,1817,.42047331,.37343881,563,133,.23623446,1.59
WILSON G,3,1,1,64,1,0,1,2,60.1,460,364,359,879,809,.44375771,.41410694,68,5,.073529415,.25
083,3,1,1,67,6,0,1,3,99,765,1398,691,2899,1116,.61917561,.48223525,1706,707,.41441968,1.01
G70,3,1,1,67,6,0,1,1,64,1317,1057,1014,1901,1821,.5568369,.55602312,77,43,.55844158,1.59
21 - ST LU,3,1,1,64,1,0,0,1,50.9,587,1099,495,2319,954,.51886791,.47391117,1354,604,.44608566,.30000001
G62,3,1,1,67,6,0,1,3,56.2,226,903,200,1584,241,.82987553,.57007575,1293,703,.54369682,1.59
905,3,1,1,67,6,0,1,3,99,225,1203,200,4337,594,.33670035,.27738068,3580,1003,.28016761,1.01
H19A,3,1,1,67,6,0,1,1,64,536,646,455,1453,713,.63814867,.44459739,713,191,.2678822,1.59
JUDKINS,3,1,1,64,1,0,1,6,53.9,210,321,186,612,322,.57763976,.52450979,290,135,.46551725,.14
H8,3,1,1,67,6,0,1,1,64,409,331,292,1947,1442,.20249653,.17000514,486,39,.08024691,1.59
JAM1,3,1,1,67,6,0,1,1,64,200,1914,175,2427,208,.84134614,.78862792,2136,1739,.81413859,1.59
605,3,1,1,67,6,0,1,3,99,551,1573,488,3120,839,.58164483,.50416666,2182,1085,.49725023,1.01
WEST INNES,3,1,1,67,6,0,0,1,60.2,150,1072,120,2651,472,.25423729,.4043757,2120,952,.4490566,.44
606,3,1,1,67,6,0,1,3,99,316,1101,286,2307,455,.62857145,.47724319,1771,815,.46019199,1.01
PCT 212,3,1,1,67,6,0,0,1,54.6,1533,3309,1328,5765,1689,.78626406,.57398093,3699,1981,.53555018,1.9
TARBORO 3,3,1,1,64,1,0,1,1,66.7,384,1392,333,3130,1060,.31415093,.44472843,2092,1059,.50621414,.20999999
503,3,1,1,67,6,0,1,3,99,426,822,358,2426,865,.41387284,.33882934,1493,464,.31078365,1.01
TARBORO 4,3,1,1,64,1,0,1,1,66.7,391,1208,336,2128,636,.52830189,.56766915,1508,872,.57824934,.20999999
CLEVELAND,3,1,1,67,6,0,0,1,60.2,272,996,223,1995,458,.48689955,.49924812,1495,773,.51705688,.44
COVE CITY,3,1,1,64,1,0,1,2,51.7,327,644,272,975,356,.76404494,.6605128,620,372,.60000002,.27000001
DABN,3,1,1,64,1,0,1,6,53.9,353,969,284,1801,561,.50623888,.53803444,1222,685,.56055647,.16
GRIFTON,3,1,1,64,1,0,1,1,66.7,476,1584,362,3415,959,.37747654,.46383601,2343,1222,.52155358,.38
TYRO #78,3,1,1,67,6,0,0,2,99,67,1663,51,3316,96,.53125,.50150782,3092,1612,.52134544,.41999999
NUTBUSH,3,1,1,64,1,0,1,6,53.9,518,486,372,1170,871,.42709529,.41538462,300,114,.38,.14
KINSTON-2,3,1,1,64,1,0,1,6,54.5,749,614,587,1907,1745,.33638969,.32197168,165,27,.16363636,.22
G52,3,1,1,67,6,0,1,3,56.2,1141,1193,941,2863,1817,.51788664,.41669577,1007,252,.25024825,1.59
FRANKLIN,3,1,1,67,6,0,0,1,60.2,174,1610,153,2989,278,.55035973,.53864169,2638,1457,.55231237,.44
BRADSHAW,3,1,1,67,6,0,0,1,60.2,27,1883,23,3318,68,.33823529,.56751055,3162,1860,.58823532,.44
PCT 43,3,1,1,67,6,0,0,1,54.6,1160,1470,982,3591,1676,.58591884,.40935671,1738,488,.28078252,1.9
LAWRENCE,3,1,1,64,1,0,1,1,66.7,232,351,194,636,330,.58787876,.5518868,309,157,.50809062,.20999999
GLENBURNIE,3,1,1,64,1,0,1,2,51.7,691,1111,551,2428,1113,.49505839,.45757824,1316,560,.42553192,.27000001
PCT 42,3,1,1,67,6,0,0,1,54.6,2004,1668,1585,3350,3098,.5116204,.49791044,228,83,.3640351,1.9
TRENTON,3,1,1,64,1,0,1,1,51.8,647,1027,540,1530,788,.68527919,.67124182,742,487,.65633422,.07
PCT 145,3,1,1,67,6,0,0,1,54.6,967,4185,843,4839,1065,.79154932,.86484814,3425,3342,.97576642,1.9
EAST SPENC,3,1,1,67,6,0,0,1,60.2,754,580,539,1193,1005,.53631842,.48616931,183,41,.22404371,.44
PCT 3,3,1,1,67,6,0,0,1,54.6,1185,1235,970,4194,2225,.43595505,.29446828,1787,265,.14829323,1.9
PCT 104,3,1,1,67,6,0,0,1,54.6,1672,1701,1393,4348,2827,.4927485,.39121434,1380,308,.2231884,1.9
H11,3,1,1,67,6,0,1,1,64,1168,1182,914,3182,1732,.5277136,.37146449,1396,268,.19197708,1.59
ROANOKE,3,1,1,64,1,0,1,6,53.9,55,500,49,917,95,.51578945,.54525626,824,451,.54733008,.14
WEST OXFOR,3,1,1,64,1,0,1,6,53.9,450,723,397,1418,728,.54532969,.50987303,636,326,.51257861,.14
G71,3,1,1,67,6,0,1,1,64,1264,994,965,2940,2729,.35360938,.33809525,203,29,.14285715,1.59
MILFORD HI,3,1,1,67,6,0,0,1,60.2,545,2328,441,4471,898,.49109131,.52068889,3475,1887,.54302156,.44
403,3,1,1,67,6,0,1,3,99,889,779,739,2493,2129,.34711131,.31247494,348,40,.11494253,1.01
WILSON C,3,1,1,64,1,0,1,2,60.1,796,875,678,2039,1432,.47346368,.42913193,590,197,.33389831,.25
23 - GOLDS,3,1,1,64,1,0,0,1,50.9,326,1121,280,3983,893,.31354985,.28144616,3066,841,.27429876,.30000001
SANDYCRK,3,1,1,64,1,0,1,6,53.9,421,543,371,1194,751,.49400797,.45477387,444,172,.38738739,.14
G54,2,1,1,67,6,0,1,3,56.2,1137,1218,952,2776,1405,.67758006,.43876082,1320,266,.20151515,1.59
G46,3,1,1,67,6,0,1,1,64,1454,1201,1137,3335,3071,.37023771,.36011994,254,64,.2519685,1.59
SOUTH OXFO,3,1,1,64,1,0,1,6,53.9,647,866,536,1964,1157,.46326706,.44093686,744,330,.44354838,.14
JASPER,3,1,1,64,1,0,1,2,51.7,496,1318,395,2281,690,.57246375,.57781672,1593,923,.5794099,.27000001
REEDS/YADK,3,1,1,67,6,0,0,2,99,47,1374,37,2852,90,.41111112,.48176718,2653,1337,.50395781,.41999999
WILSON B,3,1,1,64,1,0,1,2,60.1,690,622,561,2221,1664,.33713943,.28005403,541,61,.11275416,.25
POPLAR POI,3,1,1,64,1,0,1,1,66.7,62,184,46,374,104,.44230768,.49197862,266,138,.51879698,.13
PCT 60,3,1,1,67,6,0,0,1,54.6,1388,1283,1151,2709,2031,.5667159,.4736065,616,132,.21428572,1.9
H.J. MACDO,3,1,1,64,1,0,1,2,51.7,867,1836,677,3795,1465,.46211603,.48379448,2332,1159,.49699828,.27000001
H9,3,1,1,67,6,0,1,1,64,1104,825,790,2837,2542,.31077892,.29080015,284,35,.12323944,1.59
PCT 132,3,1,1,67,6,0,0,1,54.6,465,1021,398,2507,530,.75094342,.40725967,1794,623,.34726867,1.9
ROCKYMOT,3,1,1,64,1,0,1,1,66.7,5893,5091,4740,10684,9783,.48451394,.47650692,911,351,.38529089,.20999999
H3,3,1,1,67,6,0,1,1,64,474,637,344,3301,1327,.25923136,.19297183,1900,293,.15421052,1.59
WALSTONBUR,3,1,1,64,1,0,0,1,50.9,244,576,205,1605,588,.34863946,.35887849,959,371,.38686132,.1
SCOTCH IRI,3,1,1,67,6,0,0,1,60.2,135,721,116,1273,214,.54205608,.56637865,1030,605,.58737862,.44
WH2,3,1,1,64,1,0,1,6,53.9,230,518,185,1068,385,.48051947,.48501873,673,333,.49479941,.16
G74,3,1,1,67,6,0,1,1,64,1889,1485,1459,2248,2206,.66137809,.66058719,41,26,.63414633,1.59
SUGG,3,1,1,64,1,0,0,1,50.9,182,529,146,1179,476,.3067227,.44868532,662,383,.57854986,.1
12 - OAK F,3,1,1,64,1,0,0,1,50.9,524,1552,457,2919,816,.560049,.53168893,2086,1095,.52492809,.30000001
PLYMOUTH 1,3,1,1,64,1,0,1,10,66.59999999999999,525,815,410,1415,785,.52229297,.57597172,648,405,.625,.059999999
MIDD,3,1,1,64,1,0,1,6,53.9,816,1457,676,2513,1218,.55500823,.57978511,1276,781,.61206895,.16
WARD # 5 #,3,1,1,67,6,0,0,2,99,566,663,431,2601,1289,.33436772,.25490198,1260,232,.18412699,.41999999
3-A ELIZAB,3,1,1,64,1,0,1,10,66.59999999999999,394,707,302,1704,779,.38767651,.41490611,877,405,.46180159,.13
603,3,1,1,67,6,0,1,3,99,265,1079,223,2651,680,.32794118,.40701622,1885,856,.4541114,1.01
WEST ARCAD,3,1,1,67,6,0,0,2,99,83,2287,66,3729,129,.51162791,.61330116,3457,2221,.64246458,.41999999
MACCLESFIE,3,1,1,64,1,0,1,1,66.7,121,686,105,1304,249,.42168674,.52607363,1066,581,.54502815,.20999999
204,3,1,1,67,6,0,1,3,99,800,856,679,2157,1409,.48190206,.39684749,715,177,.24755245,1.01
WEST EDGEC,3,1,1,64,1,0,1,1,66.7,645,1542,560,2692,801,.69912606,.57280833,1911,982,.51386708,.20999999
WARD # 2 #,3,1,1,67,6,0,0,2,99,171,623,139,2284,405,.34320986,.27276707,1804,484,.2682927,.41999999
HAWTREE,3,1,1,64,1,0,1,6,53.9,285,473,236,1616,937,.25186765,.29269803,681,237,.34801763,.14
BLOUNTS CR,3,1,1,64,1,0,1,10,66.59999999999999,197,489,178,752,323,.55108356,.65026593,422,311,.73696685,.20999999
H18,3,1,1,67,6,0,1,1,64,679,1030,572,2203,859,.66589057,.46754426,1293,458,.354215,1.59
CONETOE,3,1,1,64,1,0,1,1,66.7,363,695,299,1421,661,.45234492,.4890922,768,396,.515625,.20999999
NIXONTON,3,1,1,64,1,0,1,10,66.59999999999999,380,1784,317,2840,494,.64170039,.628169,2223,1467,.65991902,.13
MT  HERMON,3,1,1,64,1,0,1,10,66.59999999999999,471,1556,403,2897,713,.56521738,.53710735,2069,1153,.55727404,.13
